,name,rating,interlinking,highly_rated,critical_rated,number_of_reviews,number_of_jobs
83,Ujjivan Small Finance Bank,4.1,Banking | 10k-50k Employees | Public | 7 years old | Bangalore/Bengaluru +441 more,"Company Culture, Job Security, Skill Development / Learning",,4.7k,123
84,Muthoot Finance,3.6,NBFC | 10k-50k Employees | Public | 85 years old | Kochi/Cochin +644 more,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",4.6k,147
85,Max Life Insurance,4.2,Insurance | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +398 more,"Skill Development / Learning, Company Culture, Job Security",,4.5k,408
86,Tata Projects,4.3,Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +239 more,"Job Security, Company Culture, Skill Development / Learning",,4.5k,31
87,Aurobindo Pharma,4,Pharma | 10k-50k Employees | Public | 38 years old | Hyderabad/Secunderabad +94 more,"Job Security, Salary & Benefits",,4.4k,24
88,KPMG India,3.6,Management Consulting | 10k-50k Employees | 37 years old | Bangalore / Bengaluru +76 more,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",4.5k,198
89,Shapoorji Pallonji Group,4.2,Engineering & Construction | 5k-10k Employees | Conglomerate | 159 years old | Mumbai +166 more,"Job Security, Skill Development / Learning, Company Culture",,4.4k,18
90,Oracle,3.8,Software Product | 50k-1 Lakh Employees | Public | 47 years old | Austin +47 more,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",4.4k,181
91,Home Credit Finance,4.1,Financial Services | 10k-50k Employees | 12 years old | Gurugram +117 more,"Company Culture, Skill Development / Learning, Work Life Balance",,4.4k,70
92,eClerx,3.5,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Mumbai +17 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.4k,57
93,Apollo Hospitals,4.2,Healthcare | 10k-50k Employees | Public | 41 years old | Chennai +188 more,"Job Security, Skill Development / Learning, Company Culture",,4.3k,69
94,Ashok Leyland,4.1,Automobile | 5k-10k Employees | Public | 76 years old | Chennai +218 more,"Skill Development / Learning, Work Satisfaction, Company Culture",,4.3k,--
95,Omega Healthcare,3.8,Healthcare | 10k-50k Employees | 21 years old | Florida +46 more,,"Promotions / Appraisal, Salary & Benefits",4.3k,121
96,Siemens,4.2,Industrial Automation | 5k-10k Employees | Public | 177 years old | Munich +127 more,"Job Security, Company Culture, Work Life Balance",,4.2k,1.1k
97,JLL,4.2,Real Estate | 10k-50k Employees | Forbes Global 2000 | 25 years old | Mumbai +70 more,"Skill Development / Learning, Job Security, Company Culture",,4.2k,29
