,name,rating,interlinking,highly_rated,critical_rated,number_of_reviews,number_of_jobs
3790,Sanjeev Auto Parts Manufacturers,4.3,Auto Components | 201-500 Employees | 36 years old | Aurangabad +3 more,"Skill Development / Learning, Company Culture, Work Life Balance",,203,--
3791,Verzeo,2.8,EdTech | 501-1k Employees | 6 years old | Bangalore +11 more,,"Job Security, Salary & Benefits, Work Satisfaction",203,3
3792,Sakata Inx,4.1,Chemicals | 501-1k Employees | 104 years old | Gurgaon/Gurugram +14 more,"Job Security, Skill Development / Learning, Salary & Benefits",,203,1
3793,SMR Automotive Systems India,4.1,Auto Components | 201-500 Employees | 89 years old | Stuttgart +16 more,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,203,1
3794,Mindfire Solutions,4.1,Software Product | 501-1k Employees | 25 years old | Bhubaneswar +4 more,"Work Life Balance, Company Culture, Job Security",,202,4
3795,TATWA Technologies,3.7,IT Services & Consulting | 1k-5k Employees | 22 years old | Bhubaneswar +10 more,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",202,4
3796,Lucas Indian Service,3.7,Auto Components | 201-500 Employees | 94 years old | Chennai +38 more,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",202,--
3797,Taco Bell,4.3,Hospitality | 11-50 Employees | 62 years old | Irvine +30 more,"Salary & Benefits, Skill Development / Learning, Company Culture",,202,--
3798,Clifford Chance,3.7,Legal | 201-500 Employees | 17 years old | Gurgaon/Gurugram +2 more,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",202,--
3799,Navi Technologies,2.7,FinTech | 1k-5k Employees | Startup | 6 years old | Bangalore +10 more,,"Job Security, Company Culture, Work Life Balance",202,8
3800,ITCONS e-Solutions,3.6,IT Services & Consulting | 1k-5k Employees | 17 years old | Noida +61 more,,"Promotions / Appraisal, Salary & Benefits",202,10
3801,Geo Chem Laboratories,4,Industrial Machinery | 1k-5k Employees | 60 years old | Mumbai +18 more,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",200,12
3802,Dee Vee Projects,3.9,Engineering & Construction | 51-200 Employees | 35 years old | Raipur  +32 more,,"Promotions / Appraisal, Job Security",200,--
3803,Javi Systems,3.8,IT Services & Consulting | 201-500 Employees | 17 years old | Bangalore/Bengaluru +36 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",200,--
3804,Mitsui O.S.K. Lines,4.1,Ports & Shipping | 51-200 Employees | Forbes Global 2000 | 140 years old | Toranomon +10 more,"Job Security, Work Life Balance, Company Culture",,200,--
3805,Saurav Chemicals,3.8,Pharma | 201-500 Employees | 33 years old | Panchkula +11 more,,Promotions / Appraisal,200,8
3806,Indo German Tool Room,3.9,Government | 51-200 Employees | 29 years old | Ahmedabad +15 more,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",197,--
3807,Essar Power,4.4,Power | 5k-10k Employees | Public | 27 years old | Mumbai +17 more,"Job Security, Work Life Balance, Company Culture",Salary & Benefits,202,--
3808,Innoviti Technologies Private Limited,3.4,FinTech | 201-500 Employees | 16 years old | Bangalore +35 more,,"Job Security, Promotions / Appraisal, Company Culture",202,35
3809,Técnicas Reunidas,4.2,Engineering & Construction | 501-1k Employees | 52 years old | Madrid +17 more,"Work Life Balance, Company Culture, Salary & Benefits",,202,--
3810,PaySquare Consultancy,4,Recruitment | 501-1k Employees | 24 years old | Pune +7 more,"Job Security, Skill Development / Learning, Work Satisfaction","Salary & Benefits, Promotions / Appraisal",201,1
3811,Amcor Flexibles India,3.7,Packaging | 201-500 Employees | Forbes Global 2000 | 160 years old | Melbourne +14 more,Job Security,,201,1
3812,Fluentgrid,4.1,IT Services & Consulting | 501-1k Employees | 26 years old | Hyderabad/Secunderabad +29 more,"Job Security, Work Life Balance, Work Satisfaction",,201,22
3813,Poonawalla Housing Finance,3.7,Financial Services | 201-500 Employees | Pune +77 more,,"Company Culture, Promotions / Appraisal, Work Life Balance",201,--
3814,Advanced Micro Devices,4,Semiconductors | 5k-10k Employees | Forbes Global 2000 | 55 years old | Santa Clara +10 more,"Work Life Balance, Company Culture",,201,309
3815,Modi Mundi Pharma,4,Pharma | 201-500 Employees | 34 years old | Delhi/NCR +36 more,"Work Life Balance, Company Culture, Skill Development / Learning",,201,10
3816,Indo Amines,3.2,Chemicals | 201-500 Employees | Public | 45 years old | Thane +8 more,,"Job Security, Company Culture, Promotions / Appraisal",200,5
3817,ICICI Foundation for Inclusive Growth,4,Non-Profit | 201-500 Employees | 16 years old | Mumbai +53 more,,"Promotions / Appraisal, Job Security",200,1
3818,Born Group,3.7,Marketing & Advertising | 1k-5k Employees | 13 years old | New York +9 more,,"Promotions / Appraisal, Work Satisfaction",200,--
3819,Adani Gas,3.6,Oil & Gas | 501-1k Employees | Public | 20 years old | Ahmedabad +40 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",200,--
3820,Zamil Air Conditioners,4.2,Consumer Electronics & Appliances | 201-500 Employees | 50 years old | Dammam +21 more,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,200,--
3821,Meenakshi Polymers,3.5,Auto Components | 501-1k Employees | 35 years old | Gurgaon/Gurugram +17 more,,"Job Security, Salary & Benefits, Promotions / Appraisal",200,--
3822,IndustryBuying.com,3.3,Import & Export | 51-200 Employees | Startup | 11 years old | Delhi +11 more,,"Job Security, Promotions / Appraisal, Work Satisfaction",200,37
3823,Reliable Autotech,4.3,Auto Components | 1k-5k Employees | 39 years old | Nasik/Nashik +3 more,"Company Culture, Skill Development / Learning, Job Security",,199,1
3824,Ivy Hospital,3.7,Healthcare | 501-1k Employees | 16 years old | Mohali +12 more,,"Promotions / Appraisal, Job Security, Salary & Benefits",198,21
3825,Arabtec Construction,4.6,Engineering & Construction | 201-500 Employees | 49 years old | Dubai +14 more,"Work Satisfaction, Company Culture, Work Life Balance",,195,--
3826,Hyundai Heavy Industries,4.2,201-500 Employees | Public | 52 years old | Ulsan +20 more,"Job Security, Company Culture, Work Life Balance",,190,--
3827,Kapston Services,4.6,Facility Management Services | 10k-50k Employees | Hyderabad / Secunderabad +24 more,"Work Life Balance, Company Culture, Work Satisfaction",,204,8
3828,Allegis Global Solutions,3.6,Recruitment | 501-1k Employees | 23 years old | Hanover +10 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",203,10
3829,ITM Group of Institutions,4.2,Education & Training | 1k-5k Employees | 33 years old | Mumbai +24 more,"Job Security, Work Life Balance, Skill Development / Learning",,202,1
3830,Webkul Software,3.8,IT Services & Consulting | 501-1k Employees | 14 years old | Noida +6 more,"Skill Development / Learning, Job Security, Company Culture",,202,18
3831,Ck Birla Hospitals,4.2,Healthcare | 201-500 Employees (Global) | 55 years old | Kolkata +6 more,"Skill Development / Learning, Work Life Balance, Salary & Benefits",,201,--
3832,Axis Finance,4.1,NBFC | 1k-5k Employees | 29 years old | Mumbai +56 more,"Salary & Benefits, Job Security, Work Life Balance",,201,114
3833,VIKRAN Engineering & Exim,4.2,Engineering & Construction | 51-200 Employees | 16 years old | Thane +43 more,"Work Life Balance, Salary & Benefits, Company Culture",,201,--
3834,AGI Glaspac,3.7,Packaging | 1k-5k Employees | 52 years old | Hyderabad +5 more,Job Security,"Company Culture, Work Satisfaction, Promotions / Appraisal",200,--
3835,Nuance Transcription Services,4.1,IT Services & Consulting | 1k-5k Employees | 25 years old | Burlington +9 more,"Salary & Benefits, Work Life Balance, Company Culture","Job Security, Promotions / Appraisal",200,--
3836,Edureka,3.5,EdTech | 501-1k Employees | Startup | 13 years old | Bangalore +14 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",200,25
3837,NXP Semiconductors,3.9,Semiconductors | 1k-5k Employees | Public | 55 years old | Eindhoven +11 more,"Work Life Balance, Company Culture, Salary & Benefits",,200,59
3838,ShipRocket,3.4,Internet | 201-500 Employees | Indian Unicorn | 12 years old | Delhi +8 more,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",200,34
3839,Walsons Facility Solutions,4.1,Recruitment | 5k-10k Employees | Conglomerate | 28 years old | Gurgaon/Gurugram +32 more,,Promotions / Appraisal,200,16
3840,Uniinfo Telecom Services,4,Telecom | 201-500 Employees | Public | 14 years old | Indore +31 more,"Work Satisfaction, Skill Development / Learning",,199,4
3841,Bharat Institutions,3.9,Education & Training | 201-500 Employees | 23 years old | Hyderabad/Secunderabad +7 more,"Skill Development / Learning, Work Satisfaction, Company Culture",,199,--
3842,Vision Express,4.1,Retail | 501-1k Employees | 16 years old | Bangalore/Bengaluru +34 more,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal,199,--
3843,Metawallah,4.9,Internet | 51-200 Employees | Startup | 3 years old | Gurgaon/Gurugram +13 more,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,199,--
3844,Softtek,3.9,IT Services & Consulting | 501-1k Employees | 42 years old | Monterrey +8 more,"Company Culture, Work Life Balance",Promotions / Appraisal,199,20
3845,Panzer Technologies,4.8,IT Services & Consulting | 201-500 Employees | 18 years old | Hyderabad,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,199,17
3846,Smc Insurance Brokers,4,Insurance | 501-1k Employees | 34 years old | Delhi/NCR +33 more,"Work Life Balance, Skill Development / Learning",,198,2
3847,PreludeSys,3.3,IT Services & Consulting | 501-1k Employees | 25 years old | Irvine +2 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",197,36
3848,Maharishi Vidya Mandir,4.3,Education & Training | 5k-10k Employees | 41 years old | Bhopal +70 more,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,195,--
3849,Tata Play Fiber,4.3,Broadcasting | 501-1k Employees | Mumbai +29 more,"Salary & Benefits, Skill Development / Learning, Company Culture",,201,--
3850,Naandi Foundation,4,Non-Profit | 201-500 Employees | 26 years old | Hyderabad/Secunderabad +45 more,"Skill Development / Learning, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal",200,--
3851,Cargo Service Center India,3.8,Logistics | 501-1k Employees | 30 years old | Mumbai +10 more,,"Promotions / Appraisal, Salary & Benefits, Company Culture",199,1
3852,GITAM University,4,Education & Training | 1k-5k Employees | Conglomerate | 44 years old | Visakhapatnam +8 more,"Work Life Balance, Skill Development / Learning, Job Security",Promotions / Appraisal,199,12
3853,Anglo-Eastern Ship Management,3.8,Ports & Shipping | 10k-50k Employees | 50 years old | Mumbai +14 more,"Job Security, Skill Development / Learning, Company Culture",,199,1
3854,Sterling Talent Solutions,3.9,Internet | 1k-5k Employees | 49 years old | Thane +2 more,,"Job Security, Promotions / Appraisal, Skill Development / Learning",199,1
3855,Indian Institute of Science,4.4,Education & Training | 501-1k Employees | 115 years old | Bangalore / Bengaluru +6 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,199,--
3856,Bravura Solutions,4.1,Software Product | 201-500 Employees | 20 years old | Gurgaon / Gurugram +2 more,"Work Life Balance, Company Culture, Job Security",,198,2
3857,Amrutanjan Health Care,3.9,Pharma | 1k-5k Employees | Public | 131 years old | Chennai +36 more,,Promotions / Appraisal,198,1
3858,Perkins,4.6,Engineering & Construction | 51-200 Employees | 92 years old | Aurangabad +7 more,"Company Culture, Work Life Balance, Skill Development / Learning",,198,--
3859,Trantor,3.5,IT Services & Consulting | 501-1k Employees | 12 years old | Chandigarh +7 more,,"Promotions / Appraisal, Skill Development / Learning, Job Security",198,28
3860,Accurate Global Alliances,4.7,Recruitment | 51-200 Employees | 12 years old | Noida +5 more,"Skill Development / Learning, Company Culture, Work Life Balance",,201,--
3861,Nuclear Power Corporation of India,4,Power | 10k-50k Employees | State | 37 years old | Mumbai +22 more,"Job Security, Salary & Benefits, Work Life Balance",,200,--
3862,Adda 247,3.4,EdTech | 51-200 Employees | Startup | 8 years old | Gurgaon +16 more,,"Promotions / Appraisal, Job Security, Salary & Benefits",200,45
3863,ONPASSIVE,3.6,IT Services & Consulting | 1k-5k Employees | 6 years old | Orlando +7 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",200,18
3864,Ceat Specialty Tyres,4,Auto Components | 51-200 Employees | 100 years old | Mumbai +28 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,199,--
3865,Fingent,4.5,Software Product | 201-500 Employees | 21 years old | New York +4 more,"Job Security, Company Culture, Work Satisfaction",,198,7
3866,Bazar India,3.9,Retail | 51-200 Employees | Startup | 9 years old | Gurgaon +48 more,,,198,2
3867,BMW,4.3,Automobile | 1k-5k Employees | Forbes Global 2000 | 108 years old | Munich +31 more,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,198,--
3868,Livguard Energy Technologies,4.3,Power | 501-1k Employees | 10 years old | Gurgaon/Gurugram +52 more,"Job Security, Company Culture, Work Life Balance",,198,2
3869,Qentelli,4,IT Services & Consulting | 501-1k Employees | 9 years old | Dallas,"Company Culture, Work Life Balance, Skill Development / Learning",,198,52
3870,Gujarat State Fertilizers & Chemicals,4.5,Agro Chemicals | 1k-5k Employees | Fortune India 500 | 62 years old | Vadodara/Baroda +22 more,"Job Security, Work Life Balance, Company Culture",,197,2
3871,TITAGARH WAGONS,3.2,Industrial Machinery | 501-1k Employees | Public | 26 years old | Kolkata +13 more,,"Company Culture, Work Life Balance, Promotions / Appraisal",197,6
3872,Kusum Healthcare,4.1,Pharma | 501-1k Employees | 27 years old | Delhi/NCR +6 more,"Work Life Balance, Job Security, Company Culture",,197,--
3873,Jodas Expoim,3.6,Pharma | 201-500 Employees | 18 years old | Hyderabad/Secunderabad +5 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",197,7
3874,Civica India,4.1,IT Services & Consulting | 1k-5k Employees | 23 years old | London +4 more,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,197,1
3875,Bliss Gvs Pharma,3.9,Pharma | 501-1k Employees | Public | 40 years old | Mumbai +6 more,"Job Security, Salary & Benefits, Skill Development / Learning",,197,5
3876,Autocomp Corporation Panse,3.5,Auto Components | 1k-5k Employees | 41 years old | Pune +6 more,,"Promotions / Appraisal, Company Culture, Work Satisfaction",197,2
3877,Organic India,4.3,FMCG | 501-1k Employees | 27 years old | Delhi/NCR +45 more,"Work Life Balance, Company Culture, Skill Development / Learning",,197,1
3878,Sears Holdings,3.7,Retail | 501-1k Employees | Forbes Global 2000 | 15 years old | Hoffman Estates +7 more,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction",196,--
3879,Sistema Shyam Teleservices,4.8,Telecom | 1k-5k Employees | 29 years old | Gurugram +43 more,"Work Life Balance, Work Satisfaction, Salary & Benefits",,196,5
3880,Amentum,4,Defence & Aerospace | 51-200 Employees | Bangalore / Bengaluru +23 more,"Work Life Balance, Company Culture, Skill Development / Learning",,192,6
3881,NIKE,4.4,Fashion & Textile | 1k-5k Employees | Public | 60 years old | Beaverton +38 more,"Company Culture, Work Life Balance, Job Security",,200,--
3882,R.K.M Powergen,4,Power | 201-500 Employees | 20 years old | Chennai +12 more,,"Promotions / Appraisal, Company Culture, Salary & Benefits",199,--
3883,Avalara Technologies,4.1,FinTech | 1k-5k Employees | 20 years old | Seattle +5 more,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,199,222
3884,Clean Harbors,3.5,IT Services & Consulting | 501-1k Employees | 44 years old | Hyderabad/Secunderabad +3 more,,"Promotions / Appraisal, Skill Development / Learning, Company Culture",198,10
3885,Costa Cruise Lines,4.3,Travel & Tourism | 51-200 Employees | 76 years old | Genoa +13 more,"Skill Development / Learning, Job Security, Company Culture",,197,--
3886,Praxair,4.3,Chemicals | 201-500 Employees | 117 years old | Danbury +27 more,"Company Culture, Skill Development / Learning, Salary & Benefits",,196,--
3887,PrimeXBT,4.7,FinTech | 11-50 Employees | 6 years old | London +6 more,"Job Security, Salary & Benefits, Work Life Balance",,196,--
3888,ITC Limited - Paperboards Specialty Papers Division,3.9,Packaging | 501-1k Employees | Secunderabad +12 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,196,--
3889,Tata nexarc,3.4,IT Services & Consulting | 201-500 Employees | 4 years old | Mumbai +12 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",196,29
3890,Autometers Alliance,4.5,Electronics Manufacturing | 501-1k Employees | 65 years old | Noida +12 more,"Work Life Balance, Job Security, Company Culture",,195,--
3891,Control Print,3.9,Consumer Electronics & Appliances | 501-1k Employees | Public | 33 years old | Mumbai +25 more,,"Promotions / Appraisal, Work Satisfaction",195,11
3892,Rajasthan Patrika,3.2,Broadcasting | 1k-5k Employees | 68 years old | Jaipur +38 more,,"Promotions / Appraisal, Salary & Benefits, Company Culture",194,--
3893,KiwiTech,3.5,IT Services & Consulting | 501-1k Employees | 15 years old | Delhi +3 more,,"Job Security, Promotions / Appraisal, Salary & Benefits",199,--
3894,Jayashree Polymers,3.7,Auto Components | 201-500 Employees | 40 years old | Pune +8 more,,"Promotions / Appraisal, Company Culture, Salary & Benefits",198,2
3895,Mantri Developers,3.6,Real Estate | 501-1k Employees | 25 years old | Bangalore/Bengaluru +5 more,,"Promotions / Appraisal, Work Satisfaction, Company Culture",197,14
3896,Toyota Tsusho,4.1,Metals & Mining | 501-1k Employees | Public | 25 years old | Nagoya +22 more,"Job Security, Skill Development / Learning, Salary & Benefits",,197,19
3897,Rubicon Research,3.4,Clinical Research | 201-500 Employees | 25 years old | Atlanta +12 more,,"Promotions / Appraisal, Salary & Benefits, Company Culture",197,11
3898,TimesPro,3.4,Education & Training | 5k-10k Employees | 11 years old | Mumbai +21 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",197,79
3899,Jaguar Land Rover,4.1,Automobile | 201-500 Employees | 102 years old | Coventry +30 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,196,--
3900,The Fern Residency,4.1,Hospitality | 501-1k Employees | 15 years old | Mumbai +44 more,,"Promotions / Appraisal, Salary & Benefits",196,--
3901,Tokai Rubber Auto Parts India,3.7,Industrial Machinery | 51-200 Employees | 16 years old | Bangalore/Bengaluru +9 more,,"Promotions / Appraisal, Skill Development / Learning, Job Security",196,1
3902,Ozone Pharmaceuticals,3.7,Pharma | 1k-5k Employees | 33 years old | New Delhi +22 more,,"Promotions / Appraisal, Work Satisfaction, Company Culture",196,12
3903,Ciron Drugs & Pharmaceuticals,3.3,Healthcare | 51-200 Employees | 34 years old | Mumbai +9 more,,"Job Security, Company Culture, Salary & Benefits",196,3
3904,AYN InfoTech,4.7,IT Services & Consulting | 51-200 Employees | Public | 15 years old | Bengaluru/Bangalore +12 more,"Work Life Balance, Job Security, Salary & Benefits",,195,1
3905,United India Insurance Company,4.3,Insurance | 10k-50k Employees | Public | 86 years old | Chennai +71 more,"Job Security, Work Life Balance, Work Satisfaction",,194,--
3906,Balaji Enterprises,4.2,Real Estate | 11-50 Employees | 33 years old | Mumbai +62 more,"Company Culture, Work Satisfaction, Skill Development / Learning",,194,--
3907,U R Rao Satellite Centre,4.5,Bangalore / Bengaluru +16 more,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,194,--
3908,Atibir Industries,3.8,Iron & Steel | 501-1k Employees | 24 years old | Giridih +13 more,,"Salary & Benefits, Promotions / Appraisal, Company Culture",193,--
3909,Clove Dental,3.6,Healthcare | 501-1k Employees | 13 years old | Delhi +16 more,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",197,19
3910,Pinkerton,3.9,Law Enforcement & Security | 501-1k Employees | 174 years old | Ann Arbor +12 more,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",197,4
3911,Casio India Company,2.8,Consumer Electronics & Appliances | 501-1k Employees | 28 years old | Delhi/NCR +21 more,,"Promotions / Appraisal, Skill Development / Learning, Job Security",196,20
3912,Skillmine Technology Consulting,4,IT Services & Consulting | 501-1k Employees | 13 years old | Bangalore/Bengaluru +10 more,"Work Life Balance, Job Security, Salary & Benefits",,196,4
3913,Smartworks,3.4,Real Estate | 201-500 Employees | Startup | 8 years old | Gurgaon/Gurugram +16 more,,"Promotions / Appraisal, Company Culture, Skill Development / Learning",196,44
3914,Motorola,4.1,Consumer Electronics & Appliances | 1k-5k Employees | 96 years old | Chicago +43 more,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,195,59
3915,Gravita,4.3,Metals & Mining | 201-500 Employees | Public | 32 years old | Jaipur +13 more,"Job Security, Work Life Balance, Skill Development / Learning",,195,2
3916,VISA Steel,3.9,Iron & Steel | 1k-5k Employees | Public | 28 years old | Bhubaneswar +12 more,Work Life Balance,"Job Security, Salary & Benefits, Promotions / Appraisal",195,--
3917,TATA Advanced Materials,4,Defence & Aerospace | 501-1k Employees | Public | 34 years old | Bangalore/Bengaluru +3 more,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",195,--
3918,Delphi Automotive Systems,3.8,Auto Components | 51-200 Employees | Public | 30 years old | Dublin +17 more,,"Company Culture, Work Satisfaction, Salary & Benefits",194,--
3919,Box8,3.6,Hospitality | 1k-5k Employees | 13 years old | Mumbai +14 more,,"Job Security, Work Life Balance, Company Culture",194,4
3920,Newgen Knowledge Works,3.4,Printing & Publishing | 1k-5k Employees | 28 years old | Chennai +10 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",194,--
3921,Sel Manufacturing Co.,3.6,Fashion & Textile | 1k-5k Employees | Public | 55 years old | Ludhiana +14 more,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",193,--
3922,Garden Silk Mills,4,Fashion & Textile | 1k-5k Employees | Public | 45 years old | Surat +14 more,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal,193,--
3923,Sanmarg Projects,4.3,Oil & Gas | 201-500 Employees | 17 years old | Noida +46 more,"Work Life Balance, Company Culture, Skill Development / Learning",,193,--
3924,National Insurance Company,4.2,Insurance | 5k-10k Employees | Central | 118 years old | Kolkata +66 more,"Work Life Balance, Job Security, Work Satisfaction",,190,--
3925,Zee Media Corporation,3.6,Media & Entertainment | 1k-5k Employees | Public | 25 years old | Noida +17 more,,"Job Security, Promotions / Appraisal, Company Culture",196,1
3926,Vitesco Technologies,4.3,Auto Components | 1k-5k Employees | 19 years old | Hannover +5 more,"Company Culture, Work Life Balance, Job Security",,196,5
3927,Envestnet Asset Management,3.9,Financial Services | 1k-5k Employees | Public | 25 years old | Chicago +4 more,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",195,15
3928,Fresenius Medical Care,3.9,Healthcare | 201-500 Employees | Public | 28 years old | Massachusetts +30 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",195,--
3929,PIT Solutions,4.5,IT Services & Consulting | 501-1k Employees | 24 years old | Rapperswil-Jona +3 more,"Work Life Balance, Company Culture, Job Security",,195,7
3930,Azentio,3.2,Software Product | 1k-5k Employees | Singapore +14 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",195,14
3931,Adroit Synergies,3.3,BPO | 501-1k Employees | 9 years old | Noida +3 more,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",195,24
3932,Kotak Mahindra General Insurance,3.8,Insurance | 501-1k Employees | Public | 9 years old | Mumbai +43 more,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",194,11
3933,Vcs Quality Services,4.3,Oil & Gas | 51-200 Employees | 22 years old | Mumbai +40 more,"Skill Development / Learning, Company Culture, Work Satisfaction",,194,1
3934,11:11 Systems,4.1,IT Services & Consulting | 51-200 Employees | 56 years old | Jacksonville +2 more,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal",194,4
3935,Zen3 Info Solutions,4.1,IT Services & Consulting | 201-500 Employees | 2024 years old | Redmond +4 more,"Work Life Balance, Company Culture",Promotions / Appraisal,194,4
3936,Excelra Knowledge Solutions,3.8,IT Services & Consulting | 501-1k Employees | 8 years old | Hyderabad +7 more,,"Promotions / Appraisal, Salary & Benefits",194,12
3937,High Street Essentials,4.3,Retail | 501-1k Employees | Noida +26 more,"Work Life Balance, Company Culture, Work Satisfaction",,193,6
3938,Perfios Software Solutions,4.3,FinTech | 1k-5k Employees | 16 years old | Mumbai +5 more,"Job Security, Company Culture, Skill Development / Learning",,193,18
3939,Shaw Toyota,4.9,Automobile | 11-50 Employees | 7 years old | Pune +1 more,"Company Culture, Skill Development / Learning, Work Satisfaction",,193,--
3940,Talwalkars Better value Fitness,4,Fitness & Wellness | 201-500 Employees | Public | 92 years old | Mumbai +54 more,"Skill Development / Learning, Work Life Balance",Salary & Benefits,193,--
3941,e-Procurement Technologies,3.4,IT Services & Consulting | 501-1k Employees | 18 years old | Ahmedabad +17 more,,"Salary & Benefits, Company Culture, Promotions / Appraisal",192,3
3942,Danieli,3.8,Industrial Machinery | 501-1k Employees | 110 years old | Buttrio +12 more,,"Promotions / Appraisal, Company Culture",192,--
3943,Neon Laboratories,3.8,Pharma | 1k-5k Employees | Public | 42 years old | Mumbai +31 more,"Job Security, Work Life Balance, Company Culture",,192,--
3944,MJ Biopharm,3.8,Pharma | 201-500 Employees | 37 years old | Mumbai +7 more,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",196,8
3945,Wellness Forever Lifestyle Chemist,4.1,Retail | 1k-5k Employees | Mumbai +31 more,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,195,--
3946,Vasta Global,3.8,1k-5k Employees | Navi Mumbai +7 more,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",195,2
3947,R L Fine Chem,3.6,Pharma | 201-500 Employees | 40 years old | Bangalore/Bengaluru +5 more,,"Promotions / Appraisal, Company Culture, Salary & Benefits",194,--
3948,Central Institute of Plastics Engineering & Technology,3.8,Education & Training | 51-200 Employees | Public | 56 years old | Chennai +36 more,Skill Development / Learning,,194,--
3949,Super Auto Forge,3.8,Industrial Machinery | 201-500 Employees | 49 years old | Chennai +5 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",194,--
3950,Shivani Locks,3.8,Industrial Machinery | 1k-5k Employees | 36 years old | Faridabad +8 more,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",193,--
3951,Sales India,4.2,Retail | 501-1k Employees | 53 years old | Ahmedabad +59 more,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",,193,5
3952,RASI SEEDS,4.4,Agriculture | 501-1k Employees | 51 years old | Salem +61 more,"Job Security, Skill Development / Learning, Company Culture",,193,--
3953,GEETANJALI HOMESTATE,4.2,Real Estate | 501-1k Employees | 11 years old | Gurgaon/Gurugram +4 more,"Company Culture, Skill Development / Learning, Promotions / Appraisal",,193,5
3954,SSF PLASTICS,4.1,Petrochemicals | 501-1k Employees | 18 years old | Mumbai +11 more,Skill Development / Learning,"Promotions / Appraisal, Job Security, Company Culture",193,--
3955,Aachi Foods,4.1,FMCG | 1k-5k Employees | 29 years old | Chennai +27 more,Job Security,,193,1
3956,Solitaire World,4,Real Estate | 201-500 Employees | 38 years old | Pune +3 more,"Company Culture, Skill Development / Learning, Job Security",,192,--
3957,Zee Learn,3.8,Education & Training | 201-500 Employees | Public | 8 years old | Mumbai +31 more,Job Security,Promotions / Appraisal,192,1
3958,LiquidHub,3.8,IT Services & Consulting | 1k-5k Employees | 23 years old | Wayne +8 more,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal",192,--
3959,Niine,3.9,Beauty & Personal Care | 201-500 Employees | 6 years old | Gurgaon +50 more,Salary & Benefits,Job Security,192,2
3960,Basicfirst Learning,3.5,EdTech | 501-1k Employees | 6 years old | Bengaluru/Bangalore +25 more,,Job Security,192,8
3961,Kent plc,4.4,Oil & Gas | 501-1k Employees | 105 years old | Dubai +21 more,"Company Culture, Work Life Balance, Skill Development / Learning",,192,1
